timestamp,latitude,longitude,datetime,timedelta,spacedelta,stopping,journey_id,stationary_id
1581929946,45.4718933105469,9.23239935578191,2020-02-17T08:59:06Z,,,TRUE,10679985068439837699,
1581930029,45.4739074707031,9.23022016415119,2020-02-17T09:00:29Z,83,281.333674150601,FALSE,10679985068439837699,
1581930030,45.4739074707031,9.23022016415119,2020-02-17T09:00:30Z,1,9.50823285444461e-11,TRUE,10679985068439837699,
1581930186,45.477294921875,9.2268277308639,2020-02-17T09:03:06Z,156,460.547564969223,FALSE,10679985068439837699,
1581930187,45.477294921875,9.2268277308639,2020-02-17T09:03:07Z,1,2.95288055053207e-11,TRUE,10679985068439837699,
1581930196,45.4775085449219,9.22572442657449,2020-02-17T09:03:16Z,9,89.4741635052647,FALSE,10679985068439837699,
1581930204,45.4781188964844,9.2255823388164,2020-02-17T09:03:24Z,8,68.7388730876894,FALSE,10679985068439837699,
1581930207,45.4781188964844,9.2255823388164,2020-02-17T09:03:27Z,3,9.91723970872685e-11,TRUE,10679985068439837699,
1581930217,45.4785766601563,9.22560860631691,2020-02-17T09:03:37Z,10,50.9178073832623,FALSE,10679985068439837699,
1582038417,45.4684448242188,9.22987506905016,2020-02-18T15:06:57Z,108199,1174.44285386018,TRUE,18260706923610571644,
1582038420,45.4688720703125,9.23020532204064,2020-02-18T15:07:00Z,3,54.0534542346385,FALSE,18260706923610571644,
1582038456,45.4697570800781,9.23009429451208,2020-02-18T15:07:36Z,36,98.7432842199658,FALSE,18260706923610571644,
1582038465,45.4700927734375,9.23011275367599,2020-02-18T15:07:45Z,9,37.3371967176932,FALSE,18260706923610571644,
1582038467,45.4701232910156,9.2301102291695,2020-02-18T15:07:47Z,2,3.39749341973068,FALSE,18260706923610571644,
1582038486,45.4706115722656,9.23012229087937,2020-02-18T15:08:06Z,19,54.276247806873,FALSE,18260706923610571644,
1582038510,45.4712219238281,9.23014156584843,2020-02-18T15:08:30Z,24,67.8518144493595,FALSE,18260706923610571644,
1582038516,45.4717102050781,9.23009300335653,2020-02-18T15:08:36Z,6,54.4007657707873,FALSE,18260706923610571644,
1582038532,45.4716796875,9.23124655647277,2020-02-18T15:08:52Z,16,90.26838536165,FALSE,18260706923610571644,
1582038553,45.4718322753906,9.23247908524497,2020-02-18T15:09:13Z,21,97.8608479943935,FALSE,18260706923610571644,
1582038604,45.4719848632813,9.23301128354236,2020-02-18T15:10:04Z,51,44.9389992163147,FALSE,18260706923610571644,
1582041559,45.4715881347656,9.23267670381061,2020-02-18T15:59:19Z,2955,51.2707154848112,FALSE,18260706923610571644,
1582041572,45.4709777832031,9.2323467012186,2020-02-18T15:59:32Z,13,72.5776813675862,FALSE,18260706923610571644,
1582041573,45.4709777832031,9.2323467012186,2020-02-18T15:59:33Z,1,9.78328818915289e-11,TRUE,18260706923610571644,
1582041585,45.470947265625,9.23178676375895,2020-02-18T15:59:45Z,12,43.9172866884284,FALSE,18260706923610571644,
1582041786,45.465576171875,9.22698309936818,2020-02-18T16:03:06Z,201,705.311808832283,FALSE,18260706923610571644,
1582045583,45.4660339355469,9.22757238134122,2020-02-18T17:06:23Z,3796,68.6456235578061,TRUE,12731061038703264716,
1582045599,45.4663391113281,9.22808919750171,2020-02-18T17:06:39Z,16,52.7633711692531,FALSE,12731061038703264716,
1582045600,45.4663391113281,9.22808919750171,2020-02-18T17:06:40Z,1,0,TRUE,12731061038703264716,
1582045616,45.4667358398438,9.22855451101595,2020-02-18T17:06:56Z,16,57.1696622623946,FALSE,12731061038703264716,
1582045617,45.4667358398438,9.22855451101595,2020-02-18T17:06:57Z,1,0,TRUE,12731061038703264716,
1582045645,45.4671630859375,9.22888713034217,2020-02-18T17:07:25Z,28,54.1424789995489,FALSE,12731061038703264716,
1582045671,45.4675598144531,9.22963264891201,2020-02-18T17:07:51Z,26,73.0978036703972,FALSE,12731061038703264716,
1582045738,45.4683227539063,9.22972773721864,2020-02-18T17:08:58Z,67,85.1192320709357,FALSE,12731061038703264716,
1582045759,45.4687194824219,9.23001292019237,2020-02-18T17:09:19Z,21,49.4119601806538,FALSE,12731061038703264716,
1582045787,45.4692687988281,9.23011218703925,2020-02-18T17:09:47Z,28,61.5430857921335,FALSE,12731061038703264716,
1582045821,45.4701538085938,9.23008807251953,2020-02-18T17:10:21Z,34,98.378907144935,FALSE,12731061038703264716,
1582045843,45.4707946777344,9.23023342133571,2020-02-18T17:10:43Z,22,72.1280000514972,FALSE,12731061038703264716,
1582045871,45.4713439941406,9.2301149455696,2020-02-18T17:11:11Z,28,61.7505146142415,FALSE,12731061038703264716,
1582046007,45.47265625,9.23110336092457,2020-02-18T17:13:27Z,136,165.059912162827,FALSE,12731061038703264716,
1582046380,45.4723205566406,9.23057271035977,2020-02-18T17:19:40Z,373,55.8014645076613,FALSE,12731061038703264716,
1582046451,45.47265625,9.23104290693312,2020-02-18T17:20:51Z,71,52.381641119362,FALSE,12731061038703264716,
1582047395,45.4718627929688,9.23316966290653,2020-02-18T17:36:35Z,944,188.239122558919,FALSE,12731061038703264716,
1582188000,45.4717102050781,9.23125951434749,2020-02-20T08:40:00Z,1,0,TRUE,16619366671267548326,
1582188108,45.4715576171875,9.23213074748174,2020-02-20T08:41:48Z,108,70.2070865317074,FALSE,16619366671267548326,
1582188280,45.4718017578125,9.23310678197682,2020-02-20T08:44:40Z,172,81.0030038193872,FALSE,16619366671267548326,
1582279088,45.4710083007813,9.23237498144251,2020-02-21T09:58:08Z,1,1.25617658923164e-10,TRUE,13254373521875675594,
